Item #,Category,Item,Product name,Vendor,URL,Price GBP,Tier,Notes
1,Compute,Raspberry Pi 5 (8GB),Raspberry Pi 5 8GB,The Pi Hut,https://thepihut.com/products/raspberry-pi-5,168.00,Core,"4GB=105.60, 16GB=292.80, 2GB=62.40. 8GB recommended for headroom; 4GB is sufficient for data collection."
2,Power,27W USB-C PSU,Raspberry Pi 27W USB-C Power Supply (UK plug),The Pi Hut,https://thepihut.com/products/raspberry-pi-27w-usb-c-power-supply,11.50,Core,"Pi 5 needs 5V/5A PD. The Pi 4's 5V/3A supply will under-power it. Skip if powering via PoE."
3,Cooling,Active Cooler,Active Cooler for Raspberry Pi 5,The Pi Hut,https://thepihut.com/products/active-cooler-for-raspberry-pi-5,4.80,Core,"Mandatory for 24/7 operation. Use this (not the case fan) when a HAT is fitted."
4,Cooling,Official case w/ fan (alt to #3),Raspberry Pi 5 Case,The Pi Hut,https://thepihut.com/products/raspberry-pi-5-case,9.60,Alt,"Includes fan + heatsink. Alternative to Active Cooler - do NOT buy both. Fan insert is removed when a HAT is fitted, so prefer #3 for a HAT build."
5,Time,RTC battery,RTC Battery for Raspberry Pi 5,The Pi Hut,https://thepihut.com/products/rtc-battery-for-raspberry-pi-5,4.80,Core,"Pi 5 has an ONBOARD RTC - no DS3231 HAT needed (unlike the Pi 4 build). This is the rechargeable cell for the onboard RTC connector. Keeps time across reboots when NTP is blocked on a biomed VLAN."
6,Sensing,ADC board (ADS1256),High-Precision AD/DA Board for Raspberry Pi (ADS1256 8-ch 24-bit + DAC8552),The Pi Hut,https://thepihut.com/products/high-precision-ad-da-expansion-board-for-raspberry-pi,33.60,Core,"This is the board you already have (ADS1256, confirmed by live test). NOT the product named 'High-Precision AD HAT' which uses the ADS1263. Occupies the 40-pin GPIO header."
7,Storage,NVMe M.2 HAT+,Raspberry Pi M.2 HAT+ (2230/2242),The Pi Hut,https://thepihut.com/products/raspberry-pi-m2-hat-plus,11.50,Recommended,"NEW vs Pi 4: uses the PCIe FPC ribbon, NOT the 40-pin header - so it does NOT conflict with the ADS1256 HAT. Cleanest way to get fast reliable boot storage off the SD card."
7b,Storage,NVMe Base (alt to #7),NVMe Base for Raspberry Pi 5 (Pimoroni),The Pi Hut,https://thepihut.com/products/nvme-base-for-raspberry-pi-5-nvme-base,14.00,Alt,"~13-15 unconfirmed. Alternative M.2 carrier; verify mechanical fit with the ADS1256 HAT."
8,Storage,NVMe SSD 256GB,Raspberry Pi SSD (M.2 2230),The Pi Hut,https://thepihut.com/products/raspberry-pi-ssd,57.60,Recommended,"512GB=86.40, 1TB=97.20. Official SSD is 2230 form factor; the M.2 HAT+ also accepts 2242."
9,Power,UPS HAT (safe shutdown) (RECOMMENDED),21700 UPS HAT (E) for Raspberry Pi 5/4/3 (Waveshare),The Pi Hut,https://thepihut.com/products/21700-ups-hat-e-for-raspberry-pi-5-4-3,31.70,Safety,"Pick ONE UPS (this OR 9b). Mounts UNDERSIDE via pogo pins -> does NOT occupy the 40-pin header, so it coexists cleanly with the ADS1256 HAT. Onboard MCU = automatic safe-shutdown + auto-boot. 5V/6A (up to 10A). Needs 4x 21700 cells (not incl, ~20+, bulky, won't fit a standard case)."
9b,Power,UPS HAT (A) (alt to #9),Uninterruptible Power Supply UPS HAT (A),The Pi Hut,https://thepihut.com/products/uninterruptible-power-supply-ups-hat-a-for-raspberry-pi,21.20,Alt,"Cheaper alternative. Sits ON the 40-pin GPIO header (incl. riser to pass signals up to the ADC HAT). 2x 18650 cells (not incl). 2.5A output. I2C monitoring only - you script the shutdown (no auto-shutdown MCU)."
