Item #,Category,Item,Product name,Vendor,URL,Price GBP,Tier,Notes
1,Compute+Network,Pico 2 W + wired Ethernet (RECOMMENDED),WIZnet W5500-EVB-Pico2 (RP2350 + onboard W5500),The Pi Hut,https://thepihut.com/products/wiznet-w5500-evb-pico2,11.20,Core,"Best pick for a fixed bedside node: RP2350 (520KB RAM, TLS headroom) + hardwired W5500 TCP/IP Ethernet. Wired avoids hospital WiFi/RF restrictions and offloads the network stack from the MCU."
1b,Compute,Pico 2 W (WiFi only) (alt to #1),Raspberry Pi Pico 2 W (RP2350),The Pi Hut,https://thepihut.com/products/raspberry-pi-pico-2-w,6.70,Alt,"Use only if wired Ethernet is impossible. 2.4GHz WiFi (CYW43439). +1.00 with headers."
1c,Compute,Pico 2 (no wireless) (alt),Raspberry Pi Pico 2 (RP2350),The Pi Hut,https://thepihut.com/products/raspberry-pi-pico-2,4.80,Alt,"Only if you add networking separately. No use without an uplink."
2,Sensing,ADS1256 ADC module (bare),HiLetgo ADS1256 8-ch 24-bit ADC Module,Amazon UK,https://www.amazon.co.uk/HiLetgo-ADS1256-Acquisition-Precision-Collecting/dp/B09KGXC44Q,20.81,Core,"~20-24, UNCONFIRMED (Amazon blocks automated price fetch). Bare SPI module - NOT the 40-pin HAT. SPI lines (CS/SCLK/MOSI/MISO/DRDY) wire directly to Pico GPIO. Matches the ADS1256 you already know."
2b,Sensing,Waveshare AD/DA board (alt to #2),High-Precision AD/DA Expansion Board (ADS1256+DAC8552),The Pi Hut,https://thepihut.com/products/high-precision-ad-da-expansion-board-for-raspberry-pi,33.60,Alt,"This is the 40-pin HAT (the board you have). Can be wired to a Pico via jumpers but it is designed for a full Pi header - clumsy for a Pico build."
3,Time,DS3231 RTC module,Precision RTC Module for Raspberry Pi Pico (DS3231),The Pi Hut,https://thepihut.com/products/precision-rtc-module-for-raspberry-pi-pico-ds3231,8.70,Core,"Needed: RP2350 onboard RTC loses time on power-off. Battery-backed I2C clock for trustworthy timestamps when NTP is blocked. (Unlike the Pi 5, which has a battery-backed onboard RTC.)"
4,Storage,microSD breakout (SPI),Adafruit MicroSD card breakout board+ (ADA254),The Pi Hut,https://thepihut.com/products/adafruit-microsd-card-breakout-board,7.30,Core,"For store-and-forward buffering during uplink outages (no Linux filesystem on a Pico). Use FAT with careful flush + the supercap (#7) to avoid corruption. Reuse a 32GB A2 card."
5,Patient safety,Galvanic isolation (partial),SparkFun Opto-isolator Breakout (2-channel),The Pi Hut,https://thepihut.com/products/sparkfun-opto-isolator-breakout,5.70,Safety,"Only 2 channels - enough for one-direction UART / a couple of digital lines, NOT a full SPI bus. For a patient-connected RS-232 instrument see the ADM3251E note below."
6,I/O,RS-232 transceiver,SparkFun MAX3232 Transceiver Breakout,The Pi Hut,https://thepihut.com/products/sparkfun-transceiver-breakout-max3232,7.00,Optional,"TTL UART <-> RS-232. NOT isolated. Pair with #5, or replace both with an isolated transceiver (ADM3251E, 2.5kV, isoPower) for a true patient-safe barrier - bare IC only, custom board needed."
7,Power,PoE splitter,Micro-USB 10/100 PoE Splitter (5V 2.4A, isolated),The Pi Hut,https://thepihut.com/products/poe-splitter-with-microusb-plug-isolated-12w-5v-2-4-amp,9.50,Optional,"Powers the node over the same Ethernet run (802.3af -> 5V). Isolated. Cleaner than a separate PSU for a wired bedside node."
8,Power,Power-loss protection (supercap),Custom: ~1-5F 5V supercap + brown-out GPIO interrupt,Custom build,N/A,5.00,Optional,"No off-the-shelf Pico-scale module at Pi Hut/Pimoroni. ~5 estimate for a supercap. Gives enough hold-up to flush the SD buffer on power loss. A Pico needs far less of a UPS than a Pi - it resets cleanly, no OS to corrupt."
